system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
259_0,-0.026973028,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,23_4,0.34355,-0.21144278,1.48,4230.9402527476905,0.015707,1561.1901392638683,1266.1262351790324,514.0,0.4782127,35.75181164000003,23,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.10890563103186,6.901845338689135,POINT (122.10890563103186 6.901845338689135)
259_1,0.4913232,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,2,23_4,0.4552,-0.4073695,1.61,4326.429403256311,2.0624578,1561.1901392638683,1461.869369514808,469.0,0.0,36.025253239999984,23,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11115141924216,6.901845338689135,POINT (122.11115141924216 6.901845338689135)
259_2,0.27064356,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,23_4,0.4552,-0.08506901,1.61,4337.634096039596,1.1294775,1561.1901392638683,1595.7898193431358,1241.0,0.4782127,38.31532664000002,23,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11339720745246,6.901845338689135,POINT (122.11339720745246 6.901845338689135)
260_0,0.3551989,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,24_4,0.4552,-0.1618307,1.69,4260.712085422961,2.6110144,1561.1901392638683,1732.3436401986248,924.0,0.46373534,37.76502542000003,24,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11564299566277,6.901845338689135,POINT (122.11564299566277 6.901845338689135)
260_1,0.7040639,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,24_4,0.4552,-0.45233867,1.69,4206.262169810805,3.2070935,1561.1901392638683,1877.5915030350616,426.0,0.59130734,37.52918204000002,24,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11788878387307,6.901845338689135,POINT (122.11788878387307 6.901845338689135)
260_2,0.81130636,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,2,24_4,0.5454,-0.5030111,1.3199999,4095.603007021674,5.573025,1561.1901392638683,1741.6839294966005,247.0,0.11593621,37.25574044000001,24,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.12013457208337,6.901845338689135,POINT (122.12013457208337 6.901845338689135)
260_3,0.59170985,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,24_4,0.5454,-0.34187537,1.3199999,3937.6278127215833,2.9871454,1561.1901392638683,1770.2369486848395,591.0,0.11593621,36.99255290000002,24,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.12238036029368,6.901845338689135,POINT (122.12238036029368 6.901845338689135)
261_0,0.7212027,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,2,25_4,0.5454,-0.42285344,0.96999997,3750.151219846407,6.0571275,1561.1901392638683,1710.564979377085,357.0,0.0,36.72252932000004,25,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.12462614850398,6.901845338689135,POINT (122.12462614850398 6.901845338689135)
261_1,0.73327863,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,25_4,0.6393,-0.40145984,0.96999997,3544.528994536928,0.40102,1561.1901392638683,1648.462781972,325.0,0.16455771,36.30211286000002,25,4,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.12687193671428,6.901845338689135,POINT (122.12687193671428 6.901845338689135)
313_0,0.1934203,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,6,18_5,0.3829,0.102771856,20.64,4933.517427104129,140.98515,1415.0246028974652,1853.326272472001,1777.5,0.8402086,48.54546049999999,18,5,0,0,0,0,0,0,0,0,0,0,SAN JOSE CAWA CAWA,0.2169117647058823,272.0,0.4467266112191867,122.06398986682592,6.910828491530324,POINT (122.06398986682592 6.910828491530324)
